,word,frequency
0,"'bout B AW T
",1
1,"'em AH M
",41
2,"'round R AW N D
",5
3,"'tis T IH Z
",2
4,"a AH
",23195
5,"a's EY Z
",6
6,"a. EY
",113
7,"a.d. EY D IY
",10
8,"a.m. EY EH M
",40
9,"aaa T R IH P AH L EY
",1
10,"aaron EH R AH N
",7
11,"ab AE B
",3
12,"aback AH B AE K
",2
13,"abandon AH B AE N D AH N
",17
14,"abandoned AH B AE N D AH N D
",25
15,"abandoning AH B AE N D AH N IH NG
",7
16,"abandonment AH B AE N D AH N M AH N T
",10
17,"abated AH B EY T IH D
",1
18,"abbas AH B AA S
",2
19,"abbe AE B IY
",3
20,"abbey AE B IY
",7
21,"abbot AE B AH T
",2
22,"abbott AE B AH T
",2
23,"abbreviated AH B R IY V IY EY T IH D
",1
24,"abbreviation AH B R IY V IY EY SH AH N
",1
25,"abbreviations AH B R IY V IY EY SH AH N Z
",1
26,"abc EY B IY S IY
",2
27,"abdallah AE B D AE L AH
",1
28,"abdomen AE B D OW M AH N
",6
29,"abdominal AE B D AA M AH N AH L
",4
30,"abduction AE B D AH K SH AH N
",1
31,"abe EY B
",3
32,"abed AH B EH D
",1
33,"abel EY B AH L
",20
34,"abell EY B AH L
",1
35,"abelson AE B IH L S AH N
",1
36,"aber EY B ER
",1
37,"abernathy AE B ER N AE TH IY
",2
38,"aberrant AE B EH R AH N T
",5
39,"aberration AE B ER EY SH AH N
",3
40,"aberrations AE B ER EY SH AH N Z
",5
41,"abetted AH B EH T IH D
",4
42,"abeyance AH B EY AH N S
",3
43,"abhorred AH B HH AO R D
",1
44,"abhorrent AE B HH AO R AH N T
",1
45,"abide AH B AY D
",7
46,"abides AH B AY D Z
",2
47,"abiding AH B AY D IH NG
",5
48,"abigail AE B AH G EY L
",2
49,"abilene AE B IH L IY N
",2
50,"abilities AH B IH L AH T IY Z
",13
51,"ability AH B IH L AH T IY
",74
52,"abject AE B JH EH K T
",3
53,"ablation AH B L EY SH AH N
",2
54,"ablaze AH B L EY Z
",3
55,"able EY B AH L
",216
56,"abler EY B AH L ER
",2
57,"ably EY B L IY
",2
58,"abner AE B N ER
",1
59,"abnormal AE B N AO R M AH L
",3
60,"abnormalities AE B N AO R M AE L AH T IY Z
",1
61,"abnormally AE B N AO R M AH L IY
",1
62,"abo AA B OW
",5
63,"aboard AH B AO R D
",25
64,"abode AH B OW D
",4
65,"abolish AH B AA L IH SH
",8
66,"abolished AH B AA L IH SH T
",2
67,"abolition AE B AH L IH SH AH N
",10
68,"abolitionist AE B AH L IH SH AH N AH S T
",1
